slug,name,name_genitive,capital,population,councilor_count,status
dolnoslaskie,dolnośląskie,Dolnośląskiego,Wrocław,2900000,36,pilot
kujawsko-pomorskie,kujawsko-pomorskie,Kujawsko-Pomorskiego,Toruń,2030000,33,planned
lubelskie,lubelskie,Lubelskiego,Lublin,2080000,33,planned
lubuskie,lubuskie,Lubuskiego,Gorzów Wielkopolski,990000,30,planned
lodzkie,łódzkie,Łódzkiego,Łódź,2400000,33,planned
malopolskie,małopolskie,Małopolskiego,Kraków,3400000,39,planned
mazowieckie,mazowieckie,Mazowieckiego,Warszawa,5510000,51,pilot
opolskie,opolskie,Opolskiego,Opole,940000,30,planned
podkarpackie,podkarpackie,Podkarpackiego,Rzeszów,2090000,33,planned
podlaskie,podlaskie,Podlaskiego,Białystok,1140000,30,planned
pomorskie,pomorskie,Pomorskiego,Gdańsk,2360000,33,pilot
slaskie,śląskie,Śląskiego,Katowice,4380000,45,planned
swietokrzyskie,świętokrzyskie,Świętokrzyskiego,Kielce,1190000,30,planned
warminsko-mazurskie,warmińsko-mazurskie,Warmińsko-Mazurskiego,Olsztyn,1380000,30,planned
wielkopolskie,wielkopolskie,Wielkopolskiego,Poznań,3490000,39,planned
zachodniopomorskie,zachodniopomorskie,Zachodniopomorskiego,Szczecin,1660000,30,planned
