slug,voivodeship,population,country,lat,lon

aachen,nordrhein-westfalen,250000,de,50.7753,6.0839
aleksandrow-kujawski,kujawsko-pomorskie,12000,pl,52.8765,18.6936
aleksandrow-lodzki,łódzkie,22148,pl,51.816667,19.3
andrychow,małopolskie,18071,pl,49.855280,19.337500
augustow,podlaskie,28800,pl,53.8437,22.9802
baden-wuerttemberg,baden-wuerttemberg,11120000,de,48.775,9.183
barczewo,warmińsko-mazurskie,7500,pl,53.8286,20.6911
barlinek,zachodniopomorskie,13119,pl,52.99722,15.21944
bartoszyce,warmińsko-mazurskie,24000,pl,54.2524,20.8144
bayern,bayern,13140000,de,48.135,11.582
bedzin,śląskie,54500,pl,50.3231,19.1322
belchatow,łódzkie,57000,pl,51.3667,19.3695
berlin,berlin,3700000,de,52.5200,13.4050
bialystok,podlaskie,292000,pl,53.1325,23.1688
bielawa,dolnośląskie,29900,pl,50.6842,16.6118
bielefeld,nordrhein-westfalen,340000,de,52.0302,8.5325
bielsko-biala,śląskie,166000,pl,49.8224,19.0444
bierun,śląskie,19500,pl,50.0932,19.0918
biskupiec,warmińsko-mazurskie,10163,pl,53.86333,20.95639
blonie,mazowieckie,12152,pl,52.20000,20.61667
bochnia,małopolskie,29700,pl,49.9694,20.4305
bochum,nordrhein-westfalen,365000,de,51.4818,7.2162
bogatynia,dolnośląskie,16245,pl,50.9039,14.9594
boguchwala,podkarpackie,6220,pl,49.9833,21.9333
boguszow-gorce,dolnośląskie,14400,pl,50.7567,16.2044
boleslawiec,łódzkie,38900,pl,51.2622,15.5694
bonn,nordrhein-westfalen,330000,de,50.7374,7.0982
brandenburg,brandenburg,2530000,de,52.391,13.064
braniewo,warmińsko-mazurskie,16500,pl,54.3826,19.8273
bransk,podlaskie,3800,pl,52.7454,22.8328
bratislava,bratislava,475000,sk,48.1486,17.1077
braunschweig,niedersachsen,250000,de,52.2689,10.5268
bremen,bremen,680000,de,53.076,8.807
brodnica,kujawsko-pomorskie,28300,pl,53.2581,19.3994
brwinow,mazowieckie,14482,pl,52.1425551,20.7170701
brzesko,małopolskie,16193,pl,49.967777777,20.606944444
brzeszcze,małopolskie,11049,pl,49.98306,19.14417
budapest,budapest,1756000,hu,47.4979,19.0402
buk,wielkopolskie,5502,pl,52.35528,16.51972
bukowno,małopolskie,9800,pl,50.2670,19.4614
bydgoszcz,kujawsko-pomorskie,336000,pl,53.1235,18.0084
bytom,śląskie,150000,pl,50.3483,18.9157
bytow,pomorskie,16218,pl,54.1694592,17.4890263
chelm,lubelskie,59546,pl,51.135,23.4715
chemnitz,sachsen,245000,de,50.8278,12.9214
chodziez,wielkopolskie,18500,pl,52.9887,16.9160
chojna,zachodniopomorskie,7400,pl,52.9642,14.4278
chojnice,pomorskie,39000,pl,53.6953,17.5615
chorzow,śląskie,104000,pl,50.2979,18.9544
choszczno,zachodniopomorskie,14399,pl,53.170837,15.464324
ciechocinek,kujawsko-pomorskie,10500,pl,52.8826,18.7907
copenhagen,hovedstaden,659000,dk,55.6761,12.5683
czaplinek,zachodniopomorskie,7100,pl,53.5578,16.2328
czarnkow,wielkopolskie,10400,pl,52.9050,16.5640
czechowice-dziedzice,śląskie,35261,pl,49.9133,19.0047
czeladz,śląskie,30000,pl,50.3185,19.0737
czersk,pomorskie,9997,pl,53.7961960,17.9756228
czestochowa,śląskie,213000,pl,50.8118,19.1203
czluchow,pomorskie,13500,pl,53.6651,17.3588
debica,podkarpackie,45900,pl,50.0515,21.4105
deblin,lubelskie,17000,pl,51.5625,21.8654
debno,zachodniopomorskie,13291,pl,52.735556,14.702222
dnipro,dnipropetrovsk,1017022,ua,48.4647,35.0462
dobre-miasto,warminsko-mazurskie,9629,pl,53.9875,20.3958
dortmund,nordrhein-westfalen,590000,de,51.5136,7.4653
dresden,sachsen,560000,de,51.0504,13.7373
duesseldorf,nordrhein-westfalen,620000,de,51.2277,6.7735
duisburg,nordrhein-westfalen,500000,de,51.4344,6.7624
dynow,podkarpackie,6000,pl,49.8135,22.2338
dzierzoniow,dolnośląskie,32000,pl,50.7282,16.6514
elblag,warmińsko-mazurskie,117000,pl,54.1522,19.4044
elk,warmińsko-mazurskie,62100,pl,53.8248,22.3616
erfurt,thueringen,214000,de,50.9787,11.0328
essen,nordrhein-westfalen,580000,de,51.4556,7.0116
freiburg,baden-wuerttemberg,230000,de,47.9990,7.8421
gdansk,pomorskie,471000,pl,54.3520,18.6466
gdynia,pomorskie,246000,pl,54.5189,18.5305
gelsenkirchen,nordrhein-westfalen,260000,de,51.5177,7.0857
gliwice,śląskie,165000,pl,50.2945,18.6714
glogow-malopolski,podkarpackie,10232,pl,50.1511809,21.9627571
glucholazy,opolskie,13143,pl,50.3156,17.3839
gniezno,wielkopolskie,65452,pl,52.5359,17.5950
miastko,pomorskie,9491,pl,54.0001,16.9775
sobotka,dolnośląskie,7025,pl,50.8986,16.7444
szydlowiec,mazowieckie,10959,pl,51.2239,20.8575
piekary-slaskie,śląskie,51565,pl,50.3789,18.9270
goldap,warmińsko-mazurskie,13378,pl,54.30631,22.30362
goleniow,zachodniopomorskie,22166,pl,53.56392,14.82854
golub-dobrzyn,kujawsko-pomorskie,11261,pl,53.10861,19.05389
gora-kalwaria,mazowieckie,11887,pl,51.9843765,21.2140226
gorzow-wielkopolski,lubuskie,119964,pl,52.7368,15.2289
gostyn,wielkopolskie,20250,pl,51.881940,17.012220
gozdnica,lubuskie,3000,pl,51.4373,15.0960
grajewo,podlaskie,21500,pl,53.6470,22.4549
