slug,name,name_genitive,capital,population,councilor_count,status,voivodeship
aleksandrowski,aleksandrowski,Aleksandrowskiego,Aleksandrów Kujawski,53086,17,planned,kujawsko-pomorskie
augustowski,augustowski,Augustowskiego,Augustów,54022,17,planned,podlaskie
bartoszycki,bartoszycki,Bartoszyckiego,Bartoszyce,52001,17,planned,warmińsko-mazurskie
bedzinski,będziński,Będzińskiego,Będzin,143640,27,planned,śląskie
belchatowski,bełchatowski,Bełchatowskiego,Bełchatów,108003,23,planned,łódzkie
bialobrzeski,białobrzeski,Białobrzeskiego,Białobrzegi,32350,15,planned,mazowieckie
bialogardzki,białogardzki,Białogardzkiego,Białogard,43964,17,planned,zachodniopomorskie
bialostocki,białostocki,Białostockiego,Białystok,159170,27,planned,podlaskie
bialski,bialski,Bialskiego,Biała Podlaska,104108,23,planned,lubelskie
bielski-podlaski,bielski,Bielskiego,Bielsk Podlaski,49987,17,planned,podlaskie
bielski-slaski,bielski,Bielskiego,Bielsko-Biała,165708,29,planned,śląskie
bierunsko-ledzinski,bieruńsko-lędziński,Bieruńsko-Lędzińskiego,Bieruń,59400,17,planned,śląskie
bieszczadzki,bieszczadzki,Bieszczadzkiego,Ustrzyki Dolne,20423,15,planned,podkarpackie
bilgorajski,biłgorajski,Biłgorajskiego,Biłgoraj,95219,21,planned,lubelskie
bochenski,bocheński,Bocheńskiego,Bochnia,106985,23,planned,małopolskie
boleslawiecki,bolesławiecki,Bolesławieckiego,Bolesławiec,87255,21,planned,dolnośląskie
braniewski,braniewski,Braniewskiego,Braniewo,36812,15,planned,warmińsko-mazurskie
brodnicki,brodnicki,Brodnickiego,Brodnica,77345,19,planned,kujawsko-pomorskie
brzeski-malopolski,brzeski,Brzeskiego,Brzesko,91340,21,planned,małopolskie
brzeski-opolski,brzeski,Brzeskiego,Brzeg,85613,21,planned,opolskie
brzezinski,brzeziński,Brzezińskiego,Brzeziny,30080,15,planned,łódzkie
brzozowski,brzozowski,Brzozowskiego,Brzozów,62822,19,planned,podkarpackie
buski,buski,Buskiego,Busko-Zdrój,67157,19,planned,świętokrzyskie
bydgoski,bydgoski,Bydgoskiego,Bydgoszcz,127915,25,planned,kujawsko-pomorskie
bytowski,bytowski,Bytowskiego,Bytów,76266,19,planned,pomorskie
chelminski,chełmiński,Chełmińskiego,Chełmno,48715,17,planned,kujawsko-pomorskie
chelmski,chełmski,Chełmskiego,Chełm,73117,19,planned,lubelskie
chodzieski,chodzieski,Chodzieskiego,Chodzież,44876,17,planned,wielkopolskie
chojnicki,chojnicki,Chojnickiego,Chojnice,95536,21,planned,pomorskie
choszczenski,choszczeński,Choszczeńskiego,Choszczno,44105,17,planned,zachodniopomorskie
chrzanowski,chrzanowski,Chrzanowskiego,Chrzanów,117756,23,planned,małopolskie
ciechanowski,ciechanowski,Ciechanowskiego,Ciechanów,84565,21,planned,mazowieckie
cieszynski,cieszyński,Cieszyńskiego,Cieszyn,173694,29,planned,śląskie
czarnkowsko-trzcianecki,czarnkowsko-trzcianecki,Czarnkowsko-Trzcianeckiego,Czarnków,82852,21,planned,wielkopolskie
czestochowski,częstochowski,Częstochowskiego,Częstochowa,131042,25,planned,śląskie
czluchowski,człuchowski,Człuchowskiego,Człuchów,52747,17,planned,pomorskie
dabrowski,dąbrowski,Dąbrowskiego,Dąbrowa Tarnowska,57253,17,planned,małopolskie
debicki,dębicki,Dębickiego,Dębica,131981,25,planned,podkarpackie
drawski,drawski,Drawskiego,Drawsko Pomorskie,53003,17,planned,zachodniopomorskie
dzialdowski,działdowski,Działdowskiego,Działdowo,61003,19,planned,warmińsko-mazurskie
dzierzoniowski,dzierżoniowski,Dzierżoniowskiego,Dzierżoniów,93863,21,planned,dolnośląskie
elblaski,elbląski,Elbląskiego,Elbląg,53765,17,planned,warmińsko-mazurskie
elcki,ełcki,Ełckiego,Ełk,87992,21,planned,warmińsko-mazurskie
garwolinski,garwoliński,Garwolińskiego,Garwolin,105213,23,planned,mazowieckie
gdanski,gdański,Gdańskiego,Gdańsk,133490,25,planned,pomorskie
gizycki,giżycki,Giżyckiego,Giżycko,53165,17,planned,warmińsko-mazurskie
gliwicki,gliwicki,Gliwickiego,Gliwice,112952,23,planned,śląskie
glogowski,głogowski,Głogowskiego,Głogów,84387,21,planned,dolnośląskie
glubczycki,głubczycki,Głubczyckiego,Głubczyce,42092,17,planned,opolskie
gnieznienski,gnieźnieński,Gnieźnieńskiego,Gniezno,140653,27,planned,wielkopolskie
goldapski,gołdapski,Gołdapskiego,Gołdap,24612,15,planned,warmińsko-mazurskie
goleniowski,goleniowski,Goleniowskiego,Goleniów,81118,21,planned,zachodniopomorskie
golubsko-dobrzynski,golubsko-dobrzyński,Golubsko-Dobrzyńskiego,Golub-Dobrzyń,42998,17,planned,kujawsko-pomorskie
gorlicki,gorlicki,Gorlickiego,Gorlice,104592,23,planned,małopolskie
gorowski,górowski,Górowskiego,Góra,32054,15,planned,dolnośląskie
gorzowski,gorzowski,Gorzowskiego,Gorzów Wielkopolski,74079,19,planned,lubuskie
gostyninski,gostyniński,Gostynińskiego,Gostynin,41756,17,planned,mazowieckie
gostynski,gostyński,Gostyńskiego,Gostyń,72977,19,planned,wielkopolskie
grajewski,grajewski,Grajewskiego,Grajewo,43756,17,planned,podlaskie
grodziski-mazowiecki,grodziski,Grodziskiego,Grodzisk Mazowiecki,106973,23,planned,mazowieckie
grodziski-wielkopolski,grodziski,Grodziskiego,Grodzisk Wielkopolski,51541,17,planned,wielkopolskie
grojecki,grójecki,Grójeckiego,Grójec,96662,21,planned,mazowieckie
grudziadzki,grudziądzki,Grudziądzkiego,Grudziądz,39123,15,planned,kujawsko-pomorskie
gryficki,gryficki,Gryfickiego,Gryfice,56095,17,planned,zachodniopomorskie
gryfinski,gryfiński,Gryfińskiego,Gryfino,76489,19,planned,zachodniopomorskie
hajnowski,hajnowski,Hajnowskiego,Hajnówka,38237,15,planned,podlaskie
hrubieszowski,hrubieszowski,Hrubieszowskiego,Hrubieszów,55911,17,planned,lubelskie
ilawski,iławski,Iławskiego,Iława,89540,21,planned,warmińsko-mazurskie
inowroclawski,inowrocławski,Inowrocławskiego,Inowrocław,149000,27,planned,kujawsko-pomorskie
janowski,janowski,Janowskiego,Janów Lubelski,42260,17,planned,lubelskie
jarocinski,jarociński,Jarocińskiego,Jarocin,69540,19,planned,wielkopolskie
jaroslawski,jarosławski,Jarosławskiego,Jarosław,115103,23,planned,podkarpackie
jasielski,jasielski,Jasielskiego,Jasło,108084,23,planned,podkarpackie
jaworski,jaworski,Jaworskiego,Jawor,46822,17,planned,dolnośląskie
jedrzejowski,jędrzejowski,Jędrzejowskiego,Jędrzejów,80365,21,planned,świętokrzyskie
kaliski,kaliski,Kaliskiego,Kalisz,81950,21,planned,wielkopolskie
kamiennogorski,kamiennogórski,Kamiennogórskiego,Kamienna Góra,39875,15,planned,dolnośląskie
kamienski,kamieński,Kamieńskiego,Kamień Pomorski,43773,17,planned,zachodniopomorskie
karkonoski,karkonoski,Karkonoskiego,Jelenia Góra,59864,17,planned,dolnośląskie
kartuski,kartuski,Kartuskiego,Kartuzy,155382,27,planned,pomorskie
kazimierski,kazimierski,Kazimierskiego,Kazimierza Wielka,31373,15,planned,świętokrzyskie
kedzierzynsko-kozielski,kędzierzyńsko-kozielski,Kędzierzyńsko-Kozielskiego,Kędzierzyn-Koźle,85435,21,planned,opolskie
kepinski,kępiński,Kępińskiego,Kępno,55762,17,planned,wielkopolskie
ketrzynski,kętrzyński,Kętrzyńskiego,Kętrzyn,56262,17,planned,warmińsko-mazurskie
kielecki,kielecki,Kieleckiego,Kielce,211645,29,planned,świętokrzyskie
klobucki,kłobucki,Kłobuckiego,Kłobuck,81495,21,planned,śląskie
klodzki,kłodzki,Kłodzkiego,Kłodzko,145243,27,planned,dolnośląskie
kluczborski,kluczborski,Kluczborskiego,Kluczbork,60536,19,planned,opolskie
kolbuszowski,kolbuszowski,Kolbuszowskiego,Kolbuszowa,60895,19,planned,podkarpackie
kolnenski,kolneński,Kolneńskiego,Kolno,35440,15,planned,podlaskie
kolobrzeski,kołobrzeski,Kołobrzeskiego,Kołobrzeg,76390,19,planned,zachodniopomorskie
kolski,kolski,Kolskiego,Koło,80743,21,planned,wielkopolskie
konecki,konecki,Koneckiego,Końskie,72810,19,planned,świętokrzyskie
koninski,koniński,Konińskiego,Konin,128469,25,planned,wielkopolskie
koscianski,kościański,Kościańskiego,Kościan,76875,19,planned,wielkopolskie
koscierski,kościerski,Kościerskiego,Kościerzyna,72113,19,planned,pomorskie
koszalinski,koszaliński,Koszalińskiego,Koszalin,64359,19,planned,zachodniopomorskie
kozienicki,kozienicki,Kozienickiego,Kozienice,56754,17,planned,mazowieckie
krakowski,krakowski,Krakowskiego,Kraków,304278,29,planned,małopolskie
krapkowicki,krapkowicki,Krapkowickiego,Krapkowice,59288,17,planned,opolskie
krasnicki,kraśnicki,Kraśnickiego,Kraśnik,88198,21,planned,lubelskie
krasnostawski,krasnostawski,Krasnostawskiego,Krasnystaw,58307,17,planned,lubelskie
krosnienski-lubuski,krośnieński,Krośnieńskiego,Krosno Odrzańskie,52187,17,planned,lubuskie
krosnienski-podkarpacki,krośnieński,Krośnieńskiego,Krosno,108034,23,planned,podkarpackie
krotoszynski,krotoszyński,Krotoszyńskiego,Krotoszyn,74463,19,planned,wielkopolskie
kutnowski,kutnowski,Kutnowskiego,Kutno,89709,21,planned,łódzkie
kwidzynski,kwidzyński,Kwidzyńskiego,Kwidzyn,79612,19,planned,pomorskie
lancucki,łańcucki,Łańcuckiego,Łańcut,80749,21,planned,podkarpackie
laski,łaski,Łaskiego,Łask,48498,17,planned,łódzkie
leborski,lęborski,Lęborskiego,Lębork,63448,19,planned,pomorskie
leczycki,łęczycki,Łęczyckiego,Łęczyca,46137,17,planned,łódzkie
leczynski,łęczyński,Łęczyńskiego,Łęczna,55531,17,planned,lubelskie
legionowski,legionowski,Legionowskiego,Legionowo,133097,25,planned,mazowieckie
legnicki,legnicki,Legnickiego,Legnickie Pole,54967,17,planned,dolnośląskie
leski,leski,Leskiego,Lesko,25224,15,planned,podkarpackie
leszczynski,leszczyński,Leszczyńskiego,Leszno,60562,19,planned,wielkopolskie
lezajski,leżajski,Leżajskiego,Leżajsk,66263,19,planned,podkarpackie
lidzbarski,lidzbarski,Lidzbarskiego,Lidzbark Warmiński,37756,15,planned,warmińsko-mazurskie
limanowski,limanowski,Limanowskiego,Limanowa,131626,25,planned,małopolskie
lipnowski,lipnowski,Lipnowskiego,Lipno,62058,19,planned,kujawsko-pomorskie
lipski,lipski,Lipskiego,Lipsko,31251,15,planned,mazowieckie
lobeski,łobeski,Łobeskiego,Łobez,32974,15,planned,zachodniopomorskie
lodzki-wschodni,łódzki wschodni,Łódzkiego Wschodniego,Łódź,75149,19,planned,łódzkie
lomzynski,łomżyński,Łomżyńskiego,Łomża,49496,17,planned,podlaskie
losicki,łosicki,Łosickiego,Łosice,28338,15,planned,mazowieckie
lowicki,łowicki,Łowickiego,Łowicz,73368,19,planned,łódzkie
lubaczowski,lubaczowski,Lubaczowskiego,Lubaczów,51997,17,planned,podkarpackie
