slug,city_name,teryt,gmina_name,powiat,woj,status
aleksandrow-kujawski,Aleksandrów Kujawski,0401011,Aleksandrów Kujawski,0401,04,matched
amsterdam,Amsterdam,,,,,foreign
augustow,Augustów,2001011,Augustów,2001,20,matched
bartoszyce,Bartoszyce,2801011,Bartoszyce,2801,28,matched
bedzin,Będzin,2401011,Będzin,2401,24,matched
belchatow,Bełchatów,1001011,Bełchatów,1001,10,matched
berlin,Berlin,,,,,foreign
bialystok,Białystok,2061011,Białystok,2061,20,matched
bielawa,Bielawa,0202011,Bielawa,0202,02,matched
bielsko-biala,Bielsko-Biała,2461011,Bielsko-Biała,2461,24,matched
bierun,Bieruń,2414011,Bieruń,2414,24,matched
bochnia,Bochnia,1201011,Bochnia,1201,12,matched
boguszow-gorce,Boguszów-Gorce,0221011,Boguszów-Gorce,0221,02,matched
boleslawiec,Bolesławiec,0201011,Bolesławiec,0201,02,matched
braniewo,Braniewo,2802011,Braniewo,2802,28,matched
bransk,Brańsk,2003021,Brańsk,2003,20,matched
bratislava,Bratislava,,,,,foreign
brodnica,Brodnica,0402011,Brodnica,0402,04,matched
budapest,Budapest,,,,,foreign
bukowno,Bukowno,1212011,Bukowno,1212,12,matched
bydgoszcz,Bydgoszcz,0461011,Bydgoszcz,0461,04,matched
bytom,Bytom,2462011,Bytom,2462,24,matched
chodziez,Chodzież,3001011,Chodzież,3001,30,matched
chojnice,Chojnice,2202011,Chojnice,2202,22,matched
chorzow,Chorzów,2463011,Chorzów,2463,24,matched
ciechocinek,Ciechocinek,0401021,Ciechocinek,0401,04,matched
copenhagen,København,,,,,foreign
czarnkow,Czarnków,3002011,Czarnków,3002,30,matched
czeladz,Czeladź,2401021,Czeladź,2401,24,matched
czestochowa,Częstochowa,2464011,Częstochowa,2464,24,matched
czluchow,Człuchów,2203011,Człuchów,2203,22,matched
dabrowa-gornicza,Dąbrowa Górnicza,2465011,Dąbrowa Górnicza,2465,24,matched
debica,Dębica,1803011,Dębica,1803,18,matched
deblin,Dęblin,0616011,Dęblin,0616,06,matched
denhaag,Den Haag,,,,,foreign
dnipro,Дніпро,,,,,foreign
dynow,Dynów,1816011,Dynów,1816,18,matched
dzierzoniow,Dzierżoniów,0202021,Dzierżoniów,0202,02,matched
elblag,Elbląg,2861011,Elbląg,2861,28,matched
elk,Ełk,2805011,Ełk,2805,28,matched
gdansk,Gdańsk,2261011,Gdańsk,2261,22,matched
gdynia,Gdynia,2262011,Gdynia,2262,22,matched
gliwice,Gliwice,2466011,Gliwice,2466,24,matched
gozdnica,Gozdnica,0810011,Gozdnica,0810,08,matched
grajewo,Grajewo,2004011,Grajewo,2004,20,matched
ilawa,Iława,2807011,Iława,2807,28,matched
imielin,Imielin,2414021,Imielin,2414,24,matched
inowroclaw,Inowrocław,0407011,Inowrocław,0407,04,matched
jawor,Jawor,0205011,Jawor,0205,02,matched
jedlina-zdroj,Jedlina-Zdrój,0221021,Jedlina-Zdrój,0221,02,matched
jelenia-gora,Jelenia Góra,0261011,Jelenia Góra,0261,02,matched
jozefow,Józefów,1417011,Józefów,1417,14,matched
kalisz,Kalisz,3061011,Kalisz,3061,30,matched
katowice,Katowice,2469011,Katowice,2469,24,matched
ketrzyn,Kętrzyn,2808011,Kętrzyn,2808,28,matched
kielce,Kielce,2661011,Kielce,2661,26,matched
klaipeda,Klaipėda,,,,,foreign
kobylka,Kobyłka,1434011,Kobyłka,1434,14,matched
kolo,Koło,3009011,Koło,3009,30,matched
kolobrzeg,Kołobrzeg,3208011,Kołobrzeg,3208,32,matched
koscian,Kościan,3011011,Kościan,3011,30,matched
kowary,Kowary,0206021,Kowary,0206,02,matched
krakow,Kraków,1261011,Kraków,1261,12,matched
krasnik,Kraśnik,0607011,Kraśnik,0607,06,matched
krasnystaw,Krasnystaw,0606011,Krasnystaw,0606,06,matched
kutno,Kutno,1002011,Kutno,1002,10,matched
kyiv,Київ,,,,,foreign
lancut,Łańcut,1810011,Łańcut,1810,18,matched
leba,Łeba,2208021,Łeba,2208,22,matched
ledziny,Lędziny,2414031,Lędziny,2414,24,matched
legionowo,Legionowo,1408011,Legionowo,1408,14,matched
leszno,Leszno,3063011,Leszno,3063,30,matched
lezajsk,Leżajsk,1808011,Leżajsk,1808,18,matched
lipno,Lipno,0408011,Lipno,0408,04,matched
lodz,Łódź,1061011,Łódź,1061,10,matched
lomza,Łomża,2062011,Łomża,2062,20,matched
lubaczow,Lubaczów,1809011,Lubaczów,1809,18,matched
luban,Lubań,0210011,Lubań,0210,02,matched
lubartow,Lubartów,0608011,Lubartów,0608,06,matched
lubawa,Lubawa,2807021,Lubawa,2807,28,matched
lublin,Lublin,0663011,Lublin,0663,06,matched
lubon,Luboń,3021011,Luboń,3021,30,matched
lukow,Łuków,0611011,Łuków,0611,06,matched
marki,Marki,1434021,Marki,1434,14,matched
mikolow,Mikołów,2408021,Mikołów,2408,24,matched
milanowek,Milanówek,1405011,Milanówek,1405,14,matched
mragowo,Mrągowo,2810011,Mrągowo,2810,28,matched
myslowice,Mysłowice,2470011,Mysłowice,2470,24,matched
myszkow,Myszków,2409011,Myszków,2409,24,matched
nieszawa,Nieszawa,0401031,Nieszawa,0401,04,matched
nowy-sacz,Nowy Sącz,1262011,Nowy Sącz,1262,12,matched
olesnica,Oleśnica,0214011,Oleśnica,0214,02,matched
olsztyn,Olsztyn,2862011,Olsztyn,2862,28,matched
